"Cost per conversation in EUR, effective June 1, 2023",,,,,,
"Note: Authentication-International rate applies for Indonesia as of June 1, 2024 and India as of July 1, 2024. Learn more: https://developers.facebook.com/docs/whatsapp/pricing/authentication-international-rates.",,,,,,
"Note: Utility rates below apply as of August 1, 2024.",,,,,,
"Note: Marketing rates below apply as of October 1, 2024.",,,,,,
"Note: Service conversations are free as of November 1, 2024. Learn more: https://developers.facebook.com/docs/whatsapp/pricing/updates-to-pricing#free-service-conversations.",,,,,,
"Note: Utility rate below applies for Rest of Africa as of November 1, 2024.",,,,,,
"Note: Authentication and authentication-international rates below apply for Egypt, Malaysia, Nigeria, Pakistan, Saudi Arabia, South Africa and the United Arab Emirates as of February 1, 2025.",,,,,,
"Note: Authentication-international rates below apply for Egypt, Nigeria, Pakistan, and South Africa as of April 1, 2025.",,,,,,
Market,Currency,Marketing,Utility,Authentication,"Authentication-
International",Service
Argentina,€,0.0512,0.0282,0.0304,n/a,n/a
Brazil,€,0.0518,0.0066,0.0261,n/a,n/a
Chile,€,0.0736,0.0166,0.0437,n/a,n/a
Colombia,€,0.0104,0.0002,0.0063,n/a,n/a
Egypt,€,0.0889,0.0043,0.0043,0.0538,n/a
France,€,0.1186,0.0248,0.0572,n/a,n/a
Germany,€,0.1131,0.0456,0.0636,n/a,n/a
India,€,0.0090,0.0012,0.0012,0.0232,n/a
Indonesia,€,0.0341,0.0166,0.0249,0.1129,n/a
Israel,€,0.0292,0.0044,0.0140,n/a,n/a
Italy,€,0.0572,0.0248,0.0313,n/a,n/a
Malaysia,€,0.0712,0.0116,0.0116,0.0346,n/a
Mexico,€,0.0361,0.0083,0.0198,n/a,n/a
Netherlands,€,0.1323,0.0414,0.0596,n/a,n/a
Nigeria,€,0.0428,0.0056,0.0056,0.0622,n/a
Pakistan,€,0.0392,0.0045,0.0045,0.0622,n/a
Peru,€,0.0582,0.0166,0.0312,n/a,n/a
Russia,€,0.0664,0.0331,0.0355,n/a,n/a
Saudi Arabia,€,0.0376,0.0095,0.0095,0.0495,n/a
South Africa,€,0.0314,0.0063,0.0063,0.0166,n/a
Spain,€,0.0509,0.0166,0.0283,n/a,n/a
Turkey,€,0.0090,0.0044,0.0069,n/a,n/a
United Arab Emirates,€,0.0319,0.0130,0.0130,0.0421,n/a
United Kingdom,€,0.0438,0.0182,0.0297,n/a,n/a
North America,€,0.0207,0.0033,0.0112,n/a,n/a
Rest of Africa,€,0.0186,0.0033,0.0119,n/a,n/a
Rest of Asia Pacific,€,0.0606,0.0130,0.0352,n/a,n/a
Rest of Central & Eastern Europe,€,0.0712,0.0292,0.0461,n/a,n/a
Rest of Latin America,€,0.0612,0.0094,0.0368,n/a,n/a
Rest of Middle East,€,0.0282,0.0130,0.0147,n/a,n/a
Rest of Western Europe,€,0.0490,0.0249,0.0313,n/a,n/a
Other,€,0.0500,0.0064,0.0252,n/a,n/a
